,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,total_nights,long_stay_flag,total_guests,guests_per_night,special_requests_per_guest,has_special_request,country_encoded,non_refund,reservation_match,is_resort,meal_encoded,market_segment_encoded,customer_type_encoded,distribution_channel_encoded
0,0,3,2016,2,0,2,2,0.0,0,0,0,0,0,0,81.0,1,0,2,0,2.0,1.0,0.0,0,121,0,0,1,1,1,3,0
1,1,50,2016,11,1,2,2,0.0,0,0,0,0,0,0,93.6,0,2,3,0,2.0,0.6666666666666666,1.0,1,12,0,1,0,1,5,3,3
2,0,14,2015,9,1,5,2,2.0,0,0,0,0,0,0,166.0,0,3,6,0,4.0,0.6666666666666666,0.75,1,71,0,1,0,1,5,2,3
3,0,18,2015,12,2,0,2,0.0,0,0,0,0,0,0,107.0,0,0,2,0,2.0,1.0,0.0,0,46,0,1,0,1,5,3,3
4,1,263,2016,9,2,4,2,0.0,0,0,0,0,0,0,100.3,0,0,6,0,2.0,0.3333333333333333,0.0,0,38,0,1,0,1,5,3,3
5,0,45,2016,3,0,5,2,0.0,0,0,0,0,1,0,106.0,0,1,5,0,2.0,0.4,0.5,1,38,0,0,1,2,6,3,0
6,0,131,2015,12,2,5,2,0.0,0,0,0,0,1,0,72.14,0,1,7,0,2.0,0.2857142857142857,0.5,1,8,0,1,1,2,4,1,3
7,0,152,2017,7,2,5,2,0.0,0,0,0,0,0,0,194.86,0,2,7,0,2.0,0.2857142857142857,1.0,1,25,0,1,1,2,5,1,3
8,0,102,2015,10,0,2,2,0.0,0,0,0,0,0,0,109.0,0,0,2,0,2.0,1.0,0.0,0,38,0,0,0,2,4,1,3
9,0,4,2017,4,0,2,1,0.0,0,1,0,1,0,0,45.0,0,0,2,0,1.0,0.5,0.0,0,121,0,1,1,1,2,3,1
10,0,160,2015,12,0,3,2,0.0,0,0,0,0,0,111,130.67,0,0,3,0,2.0,0.6666666666666666,0.0,0,71,0,1,0,1,4,1,3
11,1,344,2016,6,0,2,2,0.0,0,0,0,0,0,0,62.0,0,0,2,0,2.0,1.0,0.0,0,121,1,1,0,1,6,3,3
12,0,14,2016,10,2,5,2,0.0,0,0,0,0,0,0,153.03,0,0,7,0,2.0,0.2857142857142857,0.0,0,71,0,0,0,2,5,3,3
13,0,30,2016,5,0,1,2,0.0,0,0,0,0,0,0,126.9,0,1,1,0,2.0,2.0,0.5,1,121,0,1,0,1,5,3,3
14,0,4,2017,1,0,1,1,0.0,0,0,0,0,0,0,68.0,0,0,1,0,1.0,1.0,0.0,0,121,0,1,1,2,6,1,3
15,1,58,2016,12,2,3,2,0.0,0,0,0,0,1,0,68.0,0,1,5,0,2.0,0.4,0.5,1,53,0,1,1,1,5,3,3
16,0,10,2016,6,0,2,1,0.0,0,0,0,0,0,0,132.0,1,1,2,0,1.0,0.5,1.0,1,50,0,1,1,1,5,3,3
17,1,252,2016,12,2,3,2,0.0,0,0,0,0,1,0,55.8,0,0,5,0,2.0,0.4,0.0,0,50,0,1,1,1,5,3,3
18,0,4,2016,4,1,4,2,1.0,0,0,0,0,0,0,155.0,0,1,5,0,3.0,0.6,0.3333333333333333,1,50,0,0,0,1,1,3,0
19,0,22,2016,7,1,3,2,2.0,0,0,0,0,1,0,186.5,0,0,4,0,4.0,1.0,0.0,0,149,0,1,1,1,1,3,0
20,1,80,2016,8,0,2,2,0.0,0,0,0,0,0,0,209.0,0,0,2,0,2.0,1.0,0.0,0,148,0,1,1,1,5,3,3
21,1,48,2016,8,0,2,2,0.0,0,0,0,0,0,0,199.0,0,1,2,0,2.0,1.0,0.5,1,46,0,1,1,1,5,3,3
22,0,141,2017,6,0,3,2,0.0,0,0,0,0,0,0,126.0,0,0,3,0,2.0,0.6666666666666666,0.0,0,25,0,1,0,1,5,1,3
